JBY,Jembayan
SMD,Samarinda
BIN,Binungan
TJR,Tanjung Redeb
MLW,Muara Lawa
BGL,Bengalon
SKL,Sangkulirang
MDN,Medan
TJE,Tanjung Enim
PLU,Palu
BKJ,Batukajang
JBI,Jambi
MTW,Muara Teweh
TBG,Tabang
MDO,Manado
TJG,Tanjung
BJM,Banjarmasin
SMG,Semarang
SPT,Sampit
UPG,Ujungpandang
JKT,Jakarta
BEK,Barinto
BLP,Balikpapan
BIU,Batukajang
LRH,Loreh
BNT,Bontang
PLB,Palembang
SDU,Sungai Danau
BDI,Bendili
SBY,Surabaya
RTU,Rantau
MTB,Muara Tiga Besar
PDG,Padang
SPR,Separi
LJN,Loajanan
TRK,Tarakan
JYP,Jayapura
BTL,Batulicin
PKB,Pekanbaru
BLG,Bandar Lampung
PTK,Pontianak
SGT,Sangatta
SRG,Sorong
BHT,Buhut
FRP,Freeport
DMI,Damai
SBT,Sambarata
THP,Tuhup
SRK,Sorowako
LTI,Lati
SGA,Sanga-sanga
STI,Satui
MRW,Maruwi
MBO,Meulaboh
SBW,Sumbawa
